"","CC_1","CC_2","LT_1","LT_2","MM_1","MM_2","SMB_1","SMB_2","ST_1","ST_2","WS_1","WS_2"
"2002_BEF.FBL.048",0.0108225108225108,0.00216450216450216,0,0,0.00432900432900433,0.0108225108225108,0.00865800865800866,0.00649350649350649,0.00216450216450216,0,0,0.00216450216450216
"2002_BEF.FBL.049",0.00612244897959184,0.00306122448979592,0,0,0,0.00102040816326531,0.0142857142857143,0.0102040816326531,0,0.0102040816326531,0.0326530612244898,0.0153061224489796
"2003_BEF.FBL.016",0.0647921760391198,0.0110024449877751,0,0,0.00122249388753056,0.00611246943765281,0.0244498777506112,0.019559902200489,0,0.00122249388753056,0.0171149144254279,0.00488997555012225
"2003_BEF.FBL.017",0.00797872340425532,0,0,0,0,0,0,0.0106382978723404,0,0,0.0265957446808511,0.00265957446808511
"2003_BEF.FBL.018",0.00257731958762887,0.00902061855670103,0,0,0,0,0.0128865979381443,0.00515463917525773,0,0.00128865979381443,0.0038659793814433,0.00515463917525773
"2003_BEF.FBL.019",0.00327868852459016,0.00983606557377049,0,0,0,0,0.00983606557377049,0.00655737704918033,0,0,0,0
"2003_BEF.FBL.020",0.00434782608695652,0,0,0,0,0,0.0130434782608696,0.00869565217391304,0,0.00434782608695652,0,0
"2003_BEF.FBL.021",0.0048780487804878,0,0,0,0,0,0.0634146341463415,0.0536585365853659,0,0,0,0
"2003_BEF.FBL.022",0.0028169014084507,0.00140845070422535,0,0,0,0,0.0464788732394366,0.028169014084507,0,0,0,0.0028169014084507
"2003_BEF.FBL.023",0.00392156862745098,0.0117647058823529,0,0,0,0,0.00784313725490196,0.00784313725490196,0,0.00392156862745098,0.0156862745098039,0.0117647058823529
"2003_BEF.FBL.024",0.0232558139534884,0.00930232558139535,0,0,0,0,0,0,0,0,0,0
"2003_BEF.FBL.025",0.00690448791714614,0.00230149597238205,0,0,0,0,0.0184119677790564,0.0276179516685846,0,0.0046029919447641,0,0
"2003_BEF.FBL.026",0,0.00204081632653061,0,0,0,0,0.0163265306122449,0.0224489795918367,0,0.00408163265306122,0,0
"2003_BEF.FBL.027",0,0.00279329608938547,0,0,0,0.00279329608938547,0.0111731843575419,0.00837988826815642,0,0.00558659217877095,0,0
"2003_BEF.FBL.028",0.00202429149797571,0.00404858299595142,0,0,0,0,0.0101214574898785,0.00809716599190283,0,0,0,0
"2003_BEF.FBL.029",0.017156862745098,0.00122549019607843,0,0,0,0,0.0147058823529412,0,0,0.00122549019607843,0.00122549019607843,0
