"","rownames","BB","BND","CC","CS","LLS","LT","MM","NF","NRD","PS","RS","RT","RWF","SMB","SS","ST","WS"
"850","2018_BEF.FBL.010",0,0,0.00431034482758621,0,0,0.00431034482758621,0,0,0,0,0,0,0,0.0560344827586207,0,0,0
"851","2018_BEF.FBL.011",0,0,0,0,0,0.00284090909090909,0.03125,0,0,0,0,0,0,0.0284090909090909,0,0.00284090909090909,0
"852","2018_BEF.FBL.012",0,0,0.00245700245700246,0,0.00245700245700246,0,0.0663390663390663,0,0,0,0,0,0,0.0221130221130221,0,0.00245700245700246,0
"853","2018_BEF.FBL.013",0,0,0.00280112044817927,0,0.00280112044817927,0,0.0168067226890756,0,0,0,0,0,0,0,0,0.00280112044817927,0.00280112044817927
"854","2018_BEF.FBL.014",0,0,0.0119331742243437,0,0.00238663484486874,0,0.0501193317422434,0,0,0,0,0,0,0.00954653937947494,0,0.00238663484486874,0.00477326968973747
"855","2018_BEF.FBL.015",0,0,0.0041958041958042,0,0,0.0013986013986014,0.0153846153846154,0,0,0,0,0,0,0.013986013986014,0,0.0041958041958042,0.0027972027972028
"856","2018_BEF.LML.001",0.00192307692307692,0,0,0,0,0.00576923076923077,0,0,0,0.0865384615384615,0.00769230769230769,0,0,0.0865384615384615,0.0230769230769231,0,0
"857","2018_BEF.LML.002",0,0,0,0,0,0.00143266475644699,0,0,0,0.00143266475644699,0.0830945558739255,0,0,0.00143266475644699,0.0100286532951289,0.00143266475644699,0
"858","2018_BEF.LML.003",0,0,0,0,0.00145985401459854,0.00437956204379562,0,0,0,0.00145985401459854,0.0116788321167883,0,0,0.0394160583941606,0.0116788321167883,0,0.00145985401459854
"859","2018_BEF.LML.004",0,0,0.00160513643659711,0,0,0.00561797752808989,0,0,0,0.00240770465489567,0.0160513643659711,0,0,0.00642054574638844,0.00882825040128411,0,0.00160513643659711
"860","2018_BEF.LML.005",0.000796178343949045,0,0.0103503184713376,0.0159235668789809,0,0,0.0167197452229299,0,0,0.0557324840764331,0.00477707006369427,0,0,0.0302547770700637,0.0071656050955414,0.00159235668789809,0.00875796178343949
"861","2018_BEF.LML.006",0,0,0,0,0,0,0,0,0,0.0559440559440559,0,0,0,0.0862470862470862,0.00815850815850816,0,0.0034965034965035
"862","2018_BEF.LML.007",0,0,0,0.00488758553274682,0,0.00195503421309873,0,0,0,0.010752688172043,0.00977517106549365,0,0,0.0488758553274682,0.0185728250244379,0,0.00293255131964809
"863","2018_BEF.LML.008",0,0,0,0,0.00341296928327645,0,0,0,0,0.0068259385665529,0.0068259385665529,0,0,0.0614334470989761,0.0238907849829352,0,0
"864","2018_BEF.LML.009",0,0,0.000880281690140845,0,0,0.000880281690140845,0,0,0,0.0325704225352113,0.00880281690140845,0,0,0.0677816901408451,0.0237676056338028,0,0.00264084507042254
"865","2018_BEF.LML.010",0,0,0,0,0.00185356811862836,0.00092678405931418,0,0,0,0.0537534754402224,0.0111214087117702,0,0,0.0769230769230769,0.0120481927710843,0,0.010194624652456
"866","2018_BEF.LML.011",0,0,0,0,0.00170068027210884,0.00170068027210884,0,0,0,0.0289115646258503,0.0119047619047619,0,0,0.0680272108843537,0.00850340136054422,0,0.00340136054421769
"867","2018_BEF.LML.012",0,0,0,0,0,0.00277008310249307,0,0,0,0,0.0138504155124654,0,0,0.0249307479224377,0.0166204986149584,0.00277008310249307,0
"868","2018_BEF.LML.013",0,0,0,0,0,0.00352112676056338,0,0,0,0.028169014084507,0.0845070422535211,0,0,0.102112676056338,0.00352112676056338,0,0
"869","2018_BEF.LML.014",0,0,0,0,0,0,0,0,0,0.0773333333333333,0.00133333333333333,0,0,0.0533333333333333,0.012,0,0.016
"870","2018_BEF.LML.015",0,0,0,0.00355871886120996,0.00177935943060498,0,0,0,0,0.0587188612099644,0.00533807829181495,0,0,0.0498220640569395,0.00355871886120996,0,0.0124555160142349
"871","2018_BEF.LML.016",0,0,0,0,0,0,0,0,0,0.0238095238095238,0.00476190476190476,0,0,0.0714285714285714,0,0.00476190476190476,0.0142857142857143
"872","2018_BEF.LML.017",0,0,0.00117370892018779,0,0,0.00234741784037559,0,0,0,0.00821596244131455,0.0129107981220657,0,0,0.034037558685446,0.00234741784037559,0,0.00352112676056338
"873","2018_BEF.LML.018",0,0,0,0.00530503978779841,0,0,0.0106100795755968,0,0,0.0371352785145889,0.0318302387267905,0,0,0.0159151193633952,0.0026525198938992,0,0.0212201591511936
